Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"August, 2008 ",Report Creation Timestamp (EPT):, 07/29/2010 05:21:53 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
08/07/2008 14,08/07/2008 18,0.44,106519.842,6477.3,2850.01,6477.3
08/07/2008 15,08/07/2008 19,0.73,108083.379,6457.3,4713.86,6457.3
08/07/2008 16,08/07/2008 20,0.97,109318.511,6458.7,6265,6458.7
08/07/2008 17,08/07/2008 21,0.73,110006.39,6458.5,4714.73,6458.5
08/07/2008 18,08/07/2008 22,0.97,108851.887,6447.6,6254.15,6447.6
08/07/2008 19,08/07/2008 23,0.43,105559.359,6460.3,2777.92,6460.3
08/07/2008 20,08/08/2008 00,0.43,100864.251,6463.3,2779.25,6463.3
08/07/2008 21,08/08/2008 01,0.43,98556.093,6462.1,2778.72,6462.1
08/07/2008 22,08/08/2008 02,0.43,96177.759,6463.9,2779.51,6463.9
08/07/2008 23,08/08/2008 03,0.38,89270.252,6419.4,2439.33,6419.4
08/07/2008 24,08/08/2008 04,0.38,81263.704,6450.9,2451.38,6450.9
08/08/2008 01,08/08/2008 05,0.25,74467.411,5721.9,1430.68,5721.9
08/08/2008 02,08/08/2008 06,0.25,69751.833,5762.1,1440.72,5762.1
08/08/2008 03,08/08/2008 07,0.25,67025.809,5777.7,1444.61,5777.7
08/08/2008 04,08/08/2008 08,0.25,65049.21,5774.6,1443.77,5774.6
08/08/2008 05,08/08/2008 09,0.25,64618.128,5778.1,1444.72,5778.1
08/08/2008 06,08/08/2008 10,0.25,67266.513,5710.4,1427.73,5710.4
08/08/2008 07,08/08/2008 11,0.25,71257.858,5696.9,1424.37,5696.9
08/08/2008 08,08/08/2008 12,0.25,76493.73,5774.6,1443.82,5774.6
08/08/2008 09,08/08/2008 13,0.25,82227.938,5586.9,1396.87,5586.9
08/08/2008 10,08/08/2008 14,0.25,87209.125,5605.4,1401.54,5605.4
08/08/2008 11,08/08/2008 15,0.43,91499.192,5803.7,2495.62,5803.7
