Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"January, 2009 ",Report Creation Timestamp (EPT):, 07/06/2010 07:09:36 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
01/09/2009 12,01/09/2009 17,0.09,92653.686,5715.9,514.46,5715.9
01/09/2009 13,01/09/2009 18,0.09,90914.463,5636.7,507.29,5636.7
01/09/2009 14,01/09/2009 19,0.09,89559.992,5641.9,507.79,5641.9
01/09/2009 15,01/09/2009 20,0.03,88277.59,5642.1,169.29,5642.1
01/09/2009 16,01/09/2009 21,0,87536.765,5643.3,0,5643.3
01/09/2009 17,01/09/2009 22,0.09,89305.581,5683.4,511.54,5683.4
01/09/2009 18,01/09/2009 23,0.1,94936.509,5738.4,573.84,5738.4
01/09/2009 19,01/10/2009 00,0.1,96835.644,5738.8,573.88,5738.8
01/09/2009 20,01/10/2009 01,0.1,95597.008,5738.5,573.85,5738.5
01/09/2009 21,01/10/2009 02,0.1,93779.943,5738.8,573.88,5738.8
01/09/2009 22,01/10/2009 03,0.09,91002.365,5738.5,516.47,5738.5
01/09/2009 23,01/10/2009 04,0.09,86727.766,5664.1,509.79,5664.1
01/09/2009 24,01/10/2009 05,0.09,81466.783,5700.8,513.07,5700.8
01/10/2009 01,01/10/2009 06,0.09,77347.379,5302,477.19,5302
01/10/2009 02,01/10/2009 07,0.03,74860.376,5316.2,159.49,5316.2
01/10/2009 03,01/10/2009 08,0.03,73336.627,5316.2,159.51,5316.2
01/10/2009 04,01/10/2009 09,0.03,72726.058,5316.4,159.5,5316.4
01/10/2009 05,01/10/2009 10,0.03,72896.892,5361.2,160.81,5361.2
01/10/2009 06,01/10/2009 11,0.07,74538.027,5361.3,375.31,5361.3
01/10/2009 07,01/10/2009 12,0.09,77072.882,5110.9,459.98,5110.9
01/10/2009 08,01/10/2009 13,0.1,80537.424,5361.1,536.11,5361.1
01/10/2009 09,01/10/2009 14,0.1,83255.985,5361.5,536.15,5361.5
01/10/2009 10,01/10/2009 15,0.1,85344.04,5366.1,536.61,5366.1
01/10/2009 11,01/10/2009 16,0.1,86429.316,5366.4,536.64,5366.4
01/10/2009 12,01/10/2009 17,0.09,86184.397,5346.6,481.2,5346.6
01/10/2009 13,01/10/2009 18,0.09,85127.06,5309.5,477.91,5309.5
01/10/2009 14,01/10/2009 19,0.09,84175.594,5309.3,477.86,5309.3
01/10/2009 15,01/10/2009 20,0,83319.799,5279.3,0,5279.3
01/10/2009 16,01/10/2009 21,0.03,83400.968,5277.7,158.38,5277.7
01/10/2009 17,01/10/2009 22,0.09,85179.197,5346.8,481.21,5346.8
01/10/2009 18,01/10/2009 23,0.1,88879.218,5361.2,536.12,5361.2
