Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"November, 2008 ",Report Creation Timestamp (EPT):, 08/03/2010 02:49:46 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
11/07/2008 10,11/07/2008 15,0.1,75755.536,4779.6,477.96,4779.6
11/07/2008 11,11/07/2008 16,0.1,76363.361,4779.6,477.96,4779.6
11/07/2008 12,11/07/2008 17,0.1,76350.2,4779.5,477.95,4779.5
11/07/2008 13,11/07/2008 18,0.1,76208.196,4779,477.9,4779
11/07/2008 14,11/07/2008 19,0.1,75917.978,4780.4,478.04,4780.4
11/07/2008 15,11/07/2008 20,0.1,75404.39,4776.9,477.69,4776.9
11/07/2008 16,11/07/2008 21,0.1,74850.949,4761.4,476.14,4761.4
11/07/2008 17,11/07/2008 22,0.1,75483.928,4765.9,476.59,4765.9
11/07/2008 18,11/07/2008 23,0.1,78965.568,4776.3,477.63,4776.3
11/07/2008 19,11/08/2008 00,0.1,79413.165,4776.3,477.63,4776.3
11/07/2008 20,11/08/2008 01,0.1,77535.287,4776.1,477.61,4776.1
11/07/2008 21,11/08/2008 02,0.1,75145.966,4775.5,477.55,4775.5
11/07/2008 22,11/08/2008 03,0.1,72236.701,4772.1,477.21,4772.1
11/07/2008 23,11/08/2008 04,0.09,68067.623,4796.1,431.71,4796.1
11/07/2008 24,11/08/2008 05,0,63168.67,4692.3,0,4692.3
11/08/2008 01,11/08/2008 06,0.09,59028.997,4473.4,402.62,4473.4
11/08/2008 02,11/08/2008 07,0,56607.951,4476.2,0,4476.2
11/08/2008 03,11/08/2008 08,0,55244.574,4476.5,0,4476.5
11/08/2008 04,11/08/2008 09,0,54582.896,4476,0,4476
11/08/2008 05,11/08/2008 10,0,54634.198,4476.5,0,4476.5
11/08/2008 06,11/08/2008 11,0,56145.51,4282.5,0,4282.5
11/08/2008 07,11/08/2008 12,0.09,58861.816,4288.5,386.01,4288.5
11/08/2008 08,11/08/2008 13,0.1,62098.096,4290.5,429.05,4290.5
11/08/2008 09,11/08/2008 14,0.1,66037.732,4282.2,428.22,4282.2
11/08/2008 10,11/08/2008 15,0.1,68985.555,4270.8,427.08,4270.8
11/08/2008 11,11/08/2008 16,0.1,70416.753,4286.7,428.67,4286.7
11/08/2008 12,11/08/2008 17,0.1,70764.27,4255.5,425.55,4255.5
11/08/2008 13,11/08/2008 18,0.1,70403.406,4295.1,429.51,4295.1
11/08/2008 14,11/08/2008 19,0.1,69479.375,4257.3,425.73,4257.3
11/08/2008 15,11/08/2008 20,0.1,68603.495,4181.1,418.11,4181.1
11/08/2008 16,11/08/2008 21,0.1,68496.029,4165.6,416.56,4165.6
11/08/2008 17,11/08/2008 22,0.1,69965.045,4275.5,427.55,4275.5
11/08/2008 18,11/08/2008 23,0.19,74231.273,4276.7,812.58,4276.7
11/08/2008 19,11/09/2008 00,0.19,75004.585,4357.3,827.88,4357.3
11/08/2008 20,11/09/2008 01,0.1,73879.162,4316.8,431.68,4316.8
