Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"April, 2009 ",Report Creation Timestamp (EPT):, 07/07/2010 01:50:56 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
04/07/2009 22,04/08/2009 02,0.04,82483.935,4375,175,4375
04/07/2009 23,04/08/2009 03,0,77534.799,4392.6,0,4392.6
04/07/2009 24,04/08/2009 04,0,71991.09,4467.4,0,4467.4
04/08/2009 01,04/08/2009 05,0,67740.178,4854.7,0,4854.7
04/08/2009 02,04/08/2009 06,0,65898.296,5019.6,0,5019.6
04/08/2009 03,04/08/2009 07,0,65057.604,5023.4,0,5023.4
04/08/2009 04,04/08/2009 08,0,65054.974,5029.2,0,5029.2
04/08/2009 05,04/08/2009 09,0,66435.863,5017.5,0,5017.5
04/08/2009 06,04/08/2009 10,0,71003.395,4963.4,0,4963.4
04/08/2009 07,04/08/2009 11,0.04,78696.258,4990.6,199.63,4990.6
04/08/2009 08,04/08/2009 12,0.05,82585.215,4990.2,249.56,4990.2
04/08/2009 09,04/08/2009 13,0.04,82685.678,4961.4,198.46,4961.4
04/08/2009 10,04/08/2009 14,0.04,81838.519,5120.4,204.87,5120.4
04/08/2009 11,04/08/2009 15,0.04,81046.962,5122.3,204.93,5122.3
04/08/2009 12,04/08/2009 16,0,79713.372,5048.5,0,5048.5
04/08/2009 13,04/08/2009 17,0,78590.099,4970.4,0,4970.4
04/08/2009 14,04/08/2009 18,0,77443.194,4973.1,0,4973.1
04/08/2009 15,04/08/2009 19,0,75841.901,5009.9,0,5009.9
04/08/2009 16,04/08/2009 20,0,74339.105,4953.2,0,4953.2
04/08/2009 17,04/08/2009 21,0,73737.09,4802.2,0,4802.2
04/08/2009 18,04/08/2009 22,0,73550.891,4816.1,0,4816.1
04/08/2009 19,04/08/2009 23,0,73490.49,4764.6,0,4764.6
04/08/2009 20,04/09/2009 00,0.04,75238.846,4964.9,198.63,4964.9
04/08/2009 21,04/09/2009 01,0.04,78759.398,5050.5,202.05,5050.5
04/08/2009 22,04/09/2009 02,0.04,77283.622,5014.7,200.56,5014.7
04/08/2009 23,04/09/2009 03,0,73075.99,4828.4,0,4828.4
04/08/2009 24,04/09/2009 04,0,67986.435,4721,0,4721
04/09/2009 01,04/09/2009 05,0,64070.08,4412.9,0,4412.9
04/09/2009 02,04/09/2009 06,0,62183.445,4583.9,0,4583.9
04/09/2009 03,04/09/2009 07,0,61458.326,4724.3,0,4724.3
04/09/2009 04,04/09/2009 08,0,61627.138,4721.9,0,4721.9
04/09/2009 05,04/09/2009 09,0,63206.357,4716.6,0,4716.6
04/09/2009 06,04/09/2009 10,0,67733.682,4792.3,0,4792.3
04/09/2009 07,04/09/2009 11,0.05,75099.236,4811,240.65,4811
04/09/2009 08,04/09/2009 12,0.05,79082.764,4873.1,243.72,4873.1
04/09/2009 09,04/09/2009 13,0.05,79041.614,4903,245.24,4903
04/09/2009 10,04/09/2009 14,0.05,77837.81,4932.9,246.76,4932.9
