Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"December, 2008 ",Report Creation Timestamp (EPT):, 08/03/2010 03:51:48 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
12/12/2008 09,12/12/2008 14,0.1,89817.143,5691.5,569.15,5691.5
12/12/2008 10,12/12/2008 15,0.1,89769.453,5691.7,569.17,5691.7
12/12/2008 11,12/12/2008 16,0.1,89624.16,5691.7,569.17,5691.7
12/12/2008 12,12/12/2008 17,0.1,88878.072,5691.6,569.16,5691.6
12/12/2008 13,12/12/2008 18,0.1,87841.863,5691.6,569.16,5691.6
12/12/2008 14,12/12/2008 19,0.1,87425.73,5647,564.7,5647
12/12/2008 15,12/12/2008 20,0.1,87129.5,5648.1,564.81,5648.1
12/12/2008 16,12/12/2008 21,0.1,87612.584,5646.8,564.68,5646.8
12/12/2008 17,12/12/2008 22,0.1,90853.522,5676.2,567.62,5676.2
12/12/2008 18,12/12/2008 23,0.19,97288.006,5691.4,1081.36,5691.4
12/12/2008 19,12/13/2008 00,0.15,98219.662,5691.9,853.87,5691.9
12/12/2008 20,12/13/2008 01,0.1,96861.656,5691.8,569.18,5691.8
12/12/2008 21,12/13/2008 02,0.1,95253.529,5691.6,569.16,5691.6
12/12/2008 22,12/13/2008 03,0.1,92719.705,5691.8,569.18,5691.8
12/12/2008 23,12/13/2008 04,0.1,88585.044,5657.8,565.78,5657.8
12/12/2008 24,12/13/2008 05,0.1,82958.319,5657.2,565.72,5657.2
12/13/2008 01,12/13/2008 06,0.1,78422.74,5485.3,548.53,5485.3
12/13/2008 02,12/13/2008 07,0.1,75757.942,5485.4,548.54,5485.4
12/13/2008 03,12/13/2008 08,0.1,74631.542,5486,548.6,5486
12/13/2008 04,12/13/2008 09,0.1,74424.789,5481.5,548.15,5481.5
12/13/2008 05,12/13/2008 10,0.1,75103.635,5480.7,548.07,5480.7
12/13/2008 06,12/13/2008 11,0.1,77362.778,5450.2,545.02,5450.2
12/13/2008 07,12/13/2008 12,0.1,80918.495,5436.3,543.63,5436.3
12/13/2008 08,12/13/2008 13,0.1,84513.174,5436.7,543.67,5436.7
12/13/2008 09,12/13/2008 14,0.1,87189.657,5465.6,546.56,5465.6
12/13/2008 10,12/13/2008 15,0.1,88031.088,5470.7,547.07,5470.7
12/13/2008 11,12/13/2008 16,0.1,87361.391,5452,545.2,5452
12/13/2008 12,12/13/2008 17,0.1,85569.539,5446,544.6,5446
12/13/2008 13,12/13/2008 18,0.1,83327.898,5436.6,543.66,5436.6
12/13/2008 14,12/13/2008 19,0.1,81170.846,5448.3,544.83,5448.3
12/13/2008 15,12/13/2008 20,0.1,79783.867,5455.2,545.52,5455.2
12/13/2008 16,12/13/2008 21,0.1,79833.404,5441.5,544.15,5441.5
12/13/2008 17,12/13/2008 22,0.1,83580.502,5468.5,546.85,5468.5
12/13/2008 18,12/13/2008 23,0.19,91322.212,5407.5,1027.44,5407.5
12/13/2008 19,12/14/2008 00,0.1,92856.687,5413.1,541.31,5413.1
12/13/2008 20,12/14/2008 01,0.1,92451.765,5456.7,545.67,5456.7
12/13/2008 21,12/14/2008 02,0.1,91433.508,5455.1,545.51,5455.1
12/13/2008 22,12/14/2008 03,0.1,89727.06,5474.1,547.41,5474.1
12/13/2008 23,12/14/2008 04,0.1,86142.345,5464.3,546.43,5464.3
12/13/2008 24,12/14/2008 05,0.1,81450.347,5418,541.8,5418
12/14/2008 01,12/14/2008 06,0.1,76955.319,5120.4,512.04,5120.4
12/14/2008 02,12/14/2008 07,0.09,74261.502,5120.7,460.88,5120.7
12/14/2008 03,12/14/2008 08,0.09,72523.863,5120.5,460.86,5120.5
12/14/2008 04,12/14/2008 09,0.09,71718.591,5120.1,460.85,5120.1
