Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"October, 2008 ",Report Creation Timestamp (EPT):, 08/03/2010 02:30:01 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
10/13/2008 19,10/13/2008 23,0.15,82015.068,5111.8,766.92,5111.8
10/13/2008 20,10/14/2008 00,0.22,84618.185,5121.6,1126.75,5121.6
10/13/2008 21,10/14/2008 01,0.15,82715.291,5146,772.03,5146
10/13/2008 22,10/14/2008 02,0.13,78292.083,5012.3,651.64,5012.3
10/13/2008 23,10/14/2008 03,0.12,72082.913,5011.7,601.42,5011.7
10/13/2008 24,10/14/2008 04,0.1,65967.898,5106.8,510.68,5106.8
10/14/2008 01,10/14/2008 05,0,61020.827,5124.9,0,5124.9
10/14/2008 02,10/14/2008 06,0,58156.713,5124.5,0,5124.5
10/14/2008 03,10/14/2008 07,0,56519.075,5124.3,0,5124.3
10/14/2008 04,10/14/2008 08,0,55803.68,5096.3,0,5096.3
10/14/2008 05,10/14/2008 09,0,56649.254,5094.5,0,5094.5
10/14/2008 06,10/14/2008 10,0,60492.497,5095,0,5095
10/14/2008 07,10/14/2008 11,0.12,68530.278,5094.3,611.29,5094.3
10/14/2008 08,10/14/2008 12,0.12,73735.685,5094.3,611.33,5094.3
10/14/2008 09,10/14/2008 13,0.13,75249.189,5117.4,665.28,5117.4
10/14/2008 10,10/14/2008 14,0.13,76504.71,5111.3,664.46,5111.3
10/14/2008 11,10/14/2008 15,0.13,78216.27,5010.3,651.37,5010.3
10/14/2008 12,10/14/2008 16,0.13,79554.551,5034.2,654.47,5034.2
10/14/2008 13,10/14/2008 17,0.13,80591.239,5024.2,653.16,5024.2
10/14/2008 14,10/14/2008 18,0.15,82063.638,5115.7,767.48,5115.7
10/14/2008 15,10/14/2008 19,0.15,82328.096,5124.6,768.82,5124.6
10/14/2008 16,10/14/2008 20,0.15,82555.023,5124.901,768.83,5124.901
10/14/2008 17,10/14/2008 21,0.15,82391.89,5124.801,768.82,5124.801
10/14/2008 18,10/14/2008 22,0.13,81737.64,5124.2,666.16,5124.2
10/14/2008 19,10/14/2008 23,0.15,82004.846,5132.6,770.02,5132.6
10/14/2008 20,10/15/2008 00,0.15,84494,5133.4,770.1,5133.4
10/14/2008 21,10/15/2008 01,0.13,82940.17,5132.7,667.27,5132.7
10/14/2008 22,10/15/2008 02,0.12,78563.886,5091,610.92,5091
10/14/2008 23,10/15/2008 03,0.12,72574.525,5124.2,614.93,5124.2
