Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"November, 2012 ",Report Creation Timestamp (EPT):, 03/26/2013 11:15:01 AM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
11/12/2012 15,11/12/2012 20,0,84284.208,6107.6,0,6107.6
11/12/2012 16,11/12/2012 21,0,84242.147,6096.1,0,6096.1
11/12/2012 17,11/12/2012 22,0.02,86295.043,5673.6,113.47,5673.6
11/12/2012 18,11/12/2012 23,0.1,92002.977,5665.5,566.55,5665.5
11/12/2012 19,11/13/2012 00,0.1,92931.525,5709.4,570.94,5709.4
11/12/2012 20,11/13/2012 01,0.05,91614.488,5675.8,283.88,5675.8
11/12/2012 21,11/13/2012 02,0.05,89374.822,5694.4,284.86,5694.4
11/12/2012 22,11/13/2012 03,0,85450.356,5771.5,0,5771.5
11/12/2012 23,11/13/2012 04,0,80016.706,5200.9,0,5200.9
11/12/2012 24,11/13/2012 05,0,74472.775,5347.5,0,5347.5
11/13/2012 01,11/13/2012 06,0,70529.325,6281.4,0,6281.4
11/13/2012 02,11/13/2012 07,0,68105.853,6281.3,0,6281.3
11/13/2012 03,11/13/2012 08,0,67102.463,6191.3,0,6191.3
11/13/2012 04,11/13/2012 09,0,67194.457,6281.3,0,6281.3
11/13/2012 05,11/13/2012 10,0,68912.595,6191.3,0,6191.3
11/13/2012 06,11/13/2012 11,0,74243.517,6276.4,0,6276.4
11/13/2012 07,11/13/2012 12,0.02,83591.806,6249.3,125,6249.3
11/13/2012 08,11/13/2012 13,0.02,89176.601,6254.3,125.09,6254.3
11/13/2012 09,11/13/2012 14,0.02,90144.589,6218.3,124.37,6218.3
11/13/2012 10,11/13/2012 15,0.02,90269.976,6256.3,125.13,6256.3
11/13/2012 11,11/13/2012 16,0.02,90465.136,6286.3,125.74,6286.3
11/13/2012 12,11/13/2012 17,0.02,89746.642,6281.4,125.64,6281.4
11/13/2012 13,11/13/2012 18,0.02,88980.533,6109.5,122.2,6109.5
11/13/2012 14,11/13/2012 19,0.02,88263.695,6144.3,122.9,6144.3
11/13/2012 15,11/13/2012 20,0.01,87492.417,6080.8,60.84,6080.8
11/13/2012 16,11/13/2012 21,0.01,87396.773,6005.9,60.08,6005.9
11/13/2012 17,11/13/2012 22,0.02,90179.16,6126.3,122.54,6126.3
11/13/2012 18,11/13/2012 23,0.5,96398.817,6228.401,3114.2,6228.401
11/13/2012 19,11/14/2012 00,0.5,98778.705,6090.601,3045.3,6090.601
11/13/2012 20,11/14/2012 01,0.1,98072.119,6021.4,602.14,6021.4
11/13/2012 21,11/14/2012 02,0.05,96575.922,5957.6,298.09,5957.6
11/13/2012 22,11/14/2012 03,0.02,93047.65,5960.4,119.22,5960.4
11/13/2012 23,11/14/2012 04,0.02,87420.86,5676.4,113.54,5676.4
11/13/2012 24,11/14/2012 05,0,82186.969,5566.2,0,5566.2
11/14/2012 01,11/14/2012 06,0,78321.201,6127.6,0,6127.6
11/14/2012 02,11/14/2012 07,0,76487.038,6249.9,0,6249.9
11/14/2012 03,11/14/2012 08,0,75756.901,6162,0,6162
11/14/2012 04,11/14/2012 09,0,75924.215,5754.6,0,5754.6
11/14/2012 05,11/14/2012 10,0,78086.03,5573,0,5573
11/14/2012 06,11/14/2012 11,0.02,83812.695,5755.5,115.1,5755.5
11/14/2012 07,11/14/2012 12,0.05,93092.886,6000.6,300.15,6000.6
11/14/2012 08,11/14/2012 13,0.1,97078.106,6433.4,643.34,6433.4
11/14/2012 09,11/14/2012 14,0.1,96033.37,6433.6,643.36,6433.6
11/14/2012 10,11/14/2012 15,0.05,94105.277,6571.9,328.71,6571.9
11/14/2012 11,11/14/2012 16,0.02,92823.838,6606.5,132.12,6606.5
11/14/2012 12,11/14/2012 17,0.02,91084.377,6610.6,132.2,6610.6
11/14/2012 13,11/14/2012 18,0.02,89502.47,6458.5,129.14,6458.5
11/14/2012 14,11/14/2012 19,0.02,88595.794,6362.6,127.23,6362.6
11/14/2012 15,11/14/2012 20,0.02,87709.369,6392.4,127.84,6392.4
11/14/2012 16,11/14/2012 21,0.02,87919.01,6443.5,128.85,6443.5
11/14/2012 17,11/14/2012 22,0.02,90622.985,6531.7,130.62,6531.7
11/14/2012 18,11/14/2012 23,0.25,97753.17,6442.4,1610.68,6442.4
11/14/2012 19,11/15/2012 00,0.5,99912.549,6010.6,3005.3,6010.6
11/14/2012 20,11/15/2012 01,0.25,99308.952,5969.1,1492.37,5969.1
11/14/2012 21,11/15/2012 02,0.05,97897,6022.4,301.28,6022.4
11/14/2012 22,11/15/2012 03,0.02,94430.211,6034.1,120.66,6034.1
11/14/2012 23,11/15/2012 04,0.02,89249.929,5756.5,115.1,5756.5
11/14/2012 24,11/15/2012 05,0,83564.192,5711.3,0,5711.3
11/15/2012 01,11/15/2012 06,0,79920.526,5734.7,0,5734.7
11/15/2012 02,11/15/2012 07,0,77812.995,5734.7,0,5734.7
11/15/2012 03,11/15/2012 08,0,76854.623,5745.7,0,5745.7
11/15/2012 04,11/15/2012 09,0,77003.237,5632.2,0,5632.2
11/15/2012 05,11/15/2012 10,0,78734.309,5496.6,0,5496.6
11/15/2012 06,11/15/2012 11,0.01,84014.31,5532.4,55.3,5532.4
11/15/2012 07,11/15/2012 12,0.1,93151.97,5813.2,581.32,5813.2
11/15/2012 08,11/15/2012 13,0.1,96995.545,5933.7,593.37,5933.7
